,precision,recall,f1-score,support
AGN,0.8914015387814515,0.85735,0.874044245081048,20000.0
CART,0.14179597226807528,0.24424225191924936,0.17942558746736292,3517.0
Cepheid,0.7061333333333333,0.8974750042365701,0.7903887769569435,5901.0
Delta Scuti,0.6278855032317636,0.5379138885749802,0.5794278758368837,8849.0
Dwarf Novae,0.9014474899907607,0.851119511485897,0.8755608734669459,3439.0
EB,0.9049502833315514,0.8464,0.8746964294941353,20000.0
ILOT,0.3180650684931507,0.4648107600875821,0.3776845850806964,3197.0
KN,0.27683837986629967,0.7426160337552743,0.40332283013463194,1896.0
M-dwarf Flare,0.631924882629108,0.8454773869346733,0.723267060720043,796.0
PISN,0.7434383842326081,0.76195,0.7525803743394736,20000.0
RR Lyrae,0.44685417372642044,0.6577984702361157,0.5321853770094841,6014.0
SLSN,0.7528538812785388,0.6595,0.7030916844349681,20000.0
SNI91bg,0.5377369070315129,0.7814537157757496,0.637082309174251,12272.0
SNII,0.45092874965345164,0.3253,0.37794818171255956,20000.0
SNIa,0.4751761083224364,0.56325,0.5154780698743908,20000.0
SNIax,0.322790172267721,0.3806193806193806,0.3493276283618582,12012.0
SNIb/c,0.41319134318103745,0.3007,0.3480827666039647,20000.0
TDE,0.680735056542811,0.50565,0.5802731237089741,20000.0
uLens,0.8925648021828103,0.6944407589226482,0.7811357361390942,7537.0
accuracy,0.6084505167901344,0.6084505167901344,0.6084505167901344,0.6084505167901344
macro avg,0.5850901068602549,0.6272666927656905,0.5923686060840898,225430.0
weighted avg,0.6277389409710581,0.6084505167901344,0.6104231528258224,225430.0
