,precision,recall,f1-score,support
AGN,0.9057134250426749,0.902,0.9038528984418057,20000.0
CART,0.15079707022834984,0.0995166334944555,0.11990407673860912,3517.0
Cepheid,0.954015437674495,0.984409422131842,0.9689741451209342,5901.0
Delta Scuti,0.9321163719338277,0.9232681658944514,0.9276711706597025,8849.0
Dwarf Novae,0.9152542372881356,0.8950276243093923,0.9050279329608939,3439.0
EB,0.9776999044281618,0.9207,0.9483442344337436,20000.0
ILOT,0.42561654733492443,0.6693775414451048,0.5203647416413374,3197.0
KN,0.5130718954248366,0.9108649789029536,0.6564044089699734,1896.0
M-dwarf Flare,0.8337730870712401,0.7939698492462312,0.8133848133848134,796.0
PISN,0.8666962568427282,0.8787,0.8726568513047148,20000.0
RR Lyrae,0.9221577330146807,0.898237445959428,0.9100404312668463,6014.0
SLSN,0.8253188180404355,0.66335,0.7355232155232155,20000.0
SNI91bg,0.6006827982750359,0.8172262059973925,0.6924192212096106,12272.0
SNII,0.62984554360238,0.524,0.5720680149567401,20000.0
SNIa,0.5723329321028933,0.6419,0.6051236124531593,20000.0
SNIax,0.3725819493686633,0.49866799866799866,0.4265014774466873,12012.0
SNIb/c,0.5083655849955344,0.4269,0.46408479412963716,20000.0
TDE,0.9048812320542939,0.86665,0.8853530838973311,20000.0
uLens,0.9521832498210451,0.8824465967891734,0.9159895331221595,7537.0
accuracy,0.7384199086190836,0.7384199086190836,0.7384199086190836,0.7384199086190836
macro avg,0.7243738986602282,0.7472217085704432,0.7286151925085219,225430.0
weighted avg,0.7494104097171262,0.7384199086190836,0.739715256470384,225430.0
